id,YEAR,MAKE,MODEL,DESCRIPTION,DEPT,SALE_PRICE,SALE_DATE,SOLD_BY
43312,2004,FORD,F250,PICKUP - DUMP BODY,DPR,8400,,BIDADOO ONLINE AUCTION
43315,2004,FORD,F250,PICKUP - DUMP BODY - DROP IN,DPR,5850,,BIDADOO ONLINE AUCTION
43410,2004,FORD,E250,CARGO VAN,DPR,9955,,BIDADOO ONLINE AUCTION
43415,2004,CHEVROLET,EXPRESS,CARGO VAN,DPR,11050,,MURPHYS AUCTION
43416,2004,CHEVROLET,EXPRESS,CARGO VAN,DPR,6450,,BIDADOO ONLINE AUCTION
43418,2004,FORD,E350,CARGO VAN,DPR,6200,,BIDADOO ONLINE AUCTION
43419,2004,CHEVROLET,EXPRESS,CARGO VAN,DPR,8500,,BIDADOO ONLINE AUCTION
43442,2004,CHEVROLET,EXPRESS,PASSENGER VAN,DPR,7550,,BIDADOO ONLINE AUCTION
43443,2004,CHEVROLET,COLORADO,COMPACT PICKUP,DPR,3832,,BIDADOO ONLINE AUCTION
43445,2004,CHEVROLET,EXPRESS,PASSENGER VAN,DPR,8500,,MURPHYS AUCTION
43464,2004,JEEP,LIBERTY,COMPACT SUV - 4X4,SPU,6357.5,,BIDADOO ONLINE AUCTION
43478,2004,FORD,F250,PICKUP,SDOT,5220,,BIDADOO ONLINE AUCTION
43509,2004,FORD,E250,CARGO VAN,SPU,6099,,BIDADOO ONLINE AUCTION
43594,2004,FORD,F250,PICKUP,SDOT,6510,,MURPHYS AUCTION
43598,2004,FORD,F250,PICKUP,SDOT,7000,,BIDADOO ONLINE AUCTION
43629,2004,FORD,F450,PICKUP - SERVICE BODY - CLASS 4,SPU,6281,,BIDADOO ONLINE AUCTION
43634,2004,FORD,F250,PICKUP,DPR,4650,,BIDADOO ONLINE AUCTION
43685,2004,FORD,F550,TRUCK - DUMP - SANDER - PLOW - CLASS 5,SDOT,19400,,BIDADOO ONLINE AUCTION
43693,2004,FORD,E350,CARGO VAN,SPU,5600,,MURPHYS AUCTION
43694,2004,FORD,E250,CARGO VAN,SPU,5950,,MURPHYS AUCTION
43703,2004,FORD,F550,TRUCK - DUMP - PLOW - CLASS 5,SDOT,12500,,MURPHYS AUCTION
43790,2004,FORD,F250,PICKUP,DPR,8000,,BIDADOO ONLINE AUCTION
43897,2004,FORD,F350,PICKUP - CREW CAB,DPR,6300,,BIDADOO ONLINE AUCTION
43915,2004,FORD,F350,PICKUP,DPR,4300,,MURPHYS AUCTION
43923,2004,FORD,F250,PICKUP,DPR,3400,,MURPHYS AUCTION
43945,2004,FORD,F350,PICKUP - CREW CAB,DPR,6250,,MURPHYS AUCTION
43948,2004,FORD,F350,PICKUP - CREW CAB - 4X4,DPR,8478,,BIDADOO ONLINE AUCTION
43949,2004,CHEVROLET,EXPRESS,CARGO VAN,DPR,4650,,BIDADOO ONLINE AUCTION
43951,2004,FORD,F350,PICKUP - CREW CAB,DPR,5453.5,,BIDADOO ONLINE AUCTION
43958,2004,FORD,F250,PICKUP,DPR,14669,,MURPHYS AUCTION
43985,2004,FORD,F250,PICKUP,DPR,5659,,BIDADOO ONLINE AUCTION
43997,2004,FORD,F250,PICKUP,DPR,7600,,BIDADOO ONLINE AUCTION
44008,2004,FORD,F350,PICKUP - CREW CAB - 4X4,SPU,11100,,BIDADOO ONLINE AUCTION
44384,2004,FREIGHTLINER,MT55,WALKIN VAN - CLASS 6,SPU,15000,,MURPHYS AUCTION
44506,2004,FREIGHTLINER,MT55,WALKIN VAN - CLASS 6,SPU,19000,,MURPHYS AUCTION
